,AnalysisName,CatalogTypeCode,AnalysisID,YearID,EventID,ModelCode,Peril,ReTreatySID,ProgramID,ppnp,CompanyName,100shareloss,grloss,ntloss,finalnetloss100,finalnetgrloss,finalnetnetloss,TreatyID,cnty_cd
253037,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,749,171556,22,ST,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,142576.025525164,22812.1640840262,19960.6435735229,127605.542845022,20416.8868552035,17864.775998303,371333_1,
253239,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6350,171767,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,6347116.93191108,1015538.70910577,888596.370467551,5680669.65406042,908907.144649667,795293.751568458,371333_1,
253352,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6352,171831,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,4851090.235373,776174.43765968,679152.63295222,4341725.76065884,694676.121705414,607841.606492237,371333_1,
253561,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6366,172174,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,10550773.0742287,1688123.69187659,1477108.23039202,9442941.90143469,1510870.70422955,1322011.86620086,371333_1,
253627,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,752,172244,22,ST,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,3912804.77948269,626048.76471723,547792.669127576,3501960.27763701,560313.644421921,490274.438869181,371333_1,
253738,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6375,172404,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,100816.130646044,16130.5809033671,14114.2582904462,90230.4369282097,14436.8699085136,12632.2611699494,371333_1,
253817,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6378,172496,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,5144927.79985851,823188.447977361,720289.891980191,4604710.38087336,736753.660939738,644659.453322271,371333_1,
254045,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6388,172788,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,1907367.59209364,305178.814734983,267031.46289311,1707093.99492381,273135.03918781,238993.159289333,371333_1,
254059,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6390,172832,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,8856338.78114567,1417014.20498331,1239887.42936039,7926423.20912537,1268227.71346006,1109699.24927755,371333_1,
254072,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6390,172844,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,11125801.6594224,1780128.26550758,1557612.23231913,10480717.2314427,1676914.75703082,1467300.41240197,371333_1,
254319,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6401,173145,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
254320,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6401,173145,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,20000000.0,3200000.0,2800000.0,19250000.0,3080000.0,2695000.0,371333_2,
254373,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6403,173186,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,528693.21563738,84590.9145019808,74017.0501892332,473180.427995455,75708.8684792729,66245.2599193638,371333_1,
254919,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6433,174029,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,1601051.02809613,256168.164495381,224147.143933458,1432940.67014604,229270.507223366,200611.693820445,371333_1,
255047,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6436,174113,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
255048,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6436,174113,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,19675379.0825581,3148060.65320929,2754553.07155813,18937552.3669621,3030008.37871394,2651257.3313747,371333_2,
